SBD,density,length
0.1,584.8861283643893,0.1
0.2,579.7101449275362,0.1
0.3,574.5341614906832,0.1
0.4,574.5341614906832,0.1
0.5,564.1821946169773,0.1
0.6,564.1821946169773,0.1
0.7,552.7950310559006,0.1
0.8,584.8861283643893,0.1
0.9,569.3581780538302,0.1
1.0,553.8302277432712,0.1
1.1,569.3581780538302,0.1
1.2,584.8861283643893,0.1
1.3,569.3581780538302,0.1
1.4,569.3581780538302,0.1
1.5,559.0062111801242,0.1
1.6,559.0062111801242,0.1
1.7,600.4140786749482,0.1
1.8,595.2380952380952,0.1
1.9,595.2380952380952,0.1
2.0,564.1821946169773,0.1
