SBD,length,density
0.1,0.1,155.27950310559004
0.2,0.1,212.21532091097308
0.3,0.1,284.6790890269151
0.4,0.1,269.1511387163561
0.5,0.1,320.91097308488617
0.6,0.1,331.26293995859214
0.7,0.1,315.73498964803315
0.8,0.1,320.91097308488617
0.9,0.1,295.03105590062114
1.28,0.43,451.1252654798296
1.76,0.48,391.8865942552055
2.17,0.37,466.0273012764606
2.54,0.37,439.54847734029806
2.88,0.3,457.2010266310731
3.19,0.31,486.6978670588843
3.49,0.26,497.39452347776074
3.82,0.33,486.8894049837402
3.97,0.2,499.65540767538704
4.58,0.61,562.132409792303
