SBD,length,density
0.1,0.1,465.83850931677017
0.2,0.1,496.8944099378882
0.3,0.1,543.4782608695651
0.4,0.1,574.5341614906832
0.5,0.1,548.6542443064181
0.6,0.1,559.0062111801242
0.7,0.1,615.9420289855072
0.8,0.1,527.9503105590062
0.9,0.1,553.8302277432712
1.0,0.1,533.1262939958592
1.1,0.1,527.9503105590062
1.16,0.1,548.6542443064181
1.26,0.1,564.1821946169773
1.36,0.1,579.7101449275362
1.46,0.1,538.3022774327122
1.56,0.1,590.0621118012423
1.66,0.1,564.1821946169773
1.76,0.1,548.6542443064181
1.86,0.1,512.4223602484473
1.96,0.1,564.1821946169773
2.06,0.1,543.4782608695651
2.16,0.1,522.7743271221532
2.26,0.1,527.9503105590062
2.36,0.1,559.0062111801242
2.46,0.1,538.3022774327122
2.56,0.1,548.6542443064181
2.66,0.1,584.8861283643893
