SBD,density,length
0.1,439.95859213250515,0.1
0.2,450.3105590062112,0.1
0.3,538.3022774327122,0.1
0.4,543.4782608695651,0.1
0.5,538.3022774327122,0.1
0.6,527.9503105590062,0.1
0.7,517.5983436853003,0.1
0.8,512.4223602484473,0.1
0.9,538.3022774327122,0.1
1.0,533.1262939958592,0.1
1.1,538.3022774327122,0.1
1.2,543.4782608695651,0.1
1.3,559.0062111801242,0.1
1.4,543.4782608695651,0.1
1.5,564.1821946169773,0.1
1.6,579.7101449275362,0.1
1.7,610.7660455486542,0.1
1.8,590.0621118012423,0.1
1.9,579.7101449275362,0.1
2.0,574.5341614906832,0.1
2.12,559.0062111801242,0.1
