SBD,length,density
0.1,0.1,150.1035197
0.2,0.1,217.3913043
0.3,0.1,300.2070393
0.4,0.1,310.5590062
0.5,0.1,351.9668737
0.6,0.1,351.9668737
0.7,0.1,351.9668737
0.8,0.1,383.0227743
0.9,0.1,362.3188406
1.82,0.85,424.1596079
2.18,0.35,425.4768738
2.64,0.46,430.2233263
2.98,0.38,458.9198275
3.36,0.38,474.3890352
3.82,0.42,457.2010266
4.2,0.38,525.9530607
4.62,0.36,484.4153735
4.97,0.35,470.2639131
5.29,0.39,437.1042782
5.64,0.35,447.8703934
6.25,0.52,497.3945235
6.76,0.31,556.2261338
7.09,0.33,463.1387023
7.37,0.28,496.8562177
7.6,0.23,528.1949749
7.85,0.17,484.0952047
8.62,0.56,531.8460922
9.01,0.41,563.9343673
9.32,0.31,549.9053823
9.71,0.38,546.5786709
10.06,0.35,555.3592879
10.67,0.53,539.7683279
11.09,0.52,542.6122074
11.49,0.4,548.641232
12.17,0.63,566.0584139
12.53,0.43,546.8185036
13,0.47,533.6328092
13.445,0.415,547.6969269
13.81,0.365,552.9358796
