SBD,mass,length,diameter,volume,layer_top,layer_bottom,layer_density,layer_SWE,cumulative_density,cumulative_SWE,ice_lens_height_all,ice_lens_thick_all,ice_lens_height_sum,ice_lens_thick_sum,density_no_ice,annual_layer_depth,annual_layer_year,LWC,temperature,grain_size,measurement_type,Comments
48.0,675,44.5,5.7,1135.532591630848,0.0,48.0,0.5944347216230644,0.2853286663790709,0.5944347216230643,0.2853286663790709,,,,0.0,0.5944347216230644,0.0,2021.0,,,,C,
95.0,685,47.0,5.7,1199.3265574528057,48.0,94.25,0.5711538660953526,0.2641586630691006,0.5830104291227284,0.5494873294481715,,,,0.0,0.5711538660953526,,,,,,C,6.5 cm dog scratches
154.5,960,61.0,5.7,1556.5727660557689,94.25,154.5,0.6167395581721267,0.3715855837987063,0.5961636978944193,0.9210729132468778,,,,0.0,0.6167395581721267,,,,,,C,
185.0,470,30.5,5.7,778.2863830278844,154.5,183.0,0.603890817376874,0.1721088829524091,0.5973671017482443,1.093181796199287,25.0,1.5,25.0,1.5,0.5874403072311447,,,,,,C,15 cm dog scratches
220.5,610,39.5,5.7,1007.9446599869324,183.0,220.5,0.605191955685254,0.22694698338197025,0.5986978592205248,1.320128779581257,,,,0.0,0.605191955685254,,,,,,C,
269.0,690,48.5,5.7,1237.6029369459802,220.5,266.0,0.557529381517715,0.25367586859056035,0.5916558827713599,1.5738046481718175,28.0,1.0,28.0,1.0,0.549833412563057,254.0,2020.0,,,,C,
293.0,485,30.0,5.7,765.5275898634928,266.0,293.0,0.6335499940459156,0.1710584983923972,0.595516432274476,1.7448631465642148,,,,0.0,0.6335499940459156,,,,,,C,6.5 cm dog scratches
321.0,440,28.0,5.7,714.4924172059267,293.0,321.0,0.6158217909724658,0.17243010147229043,0.5972876162107492,1.9172932480365052,,,,0.0,0.6158217909724658,,,,,,C,
356.0,560,35.0,5.7,893.1155215074083,321.0,353.5,0.6270185508083288,0.20378102901270687,0.6000210118951095,2.121074277049212,,,,0.0,0.6270185508083288,,,,,,C,
377.5,425,26.5,5.7,676.216037712752,353.5,377.5,0.6284973681451409,0.1508393683548338,0.6018314292461049,2.271913645404046,,,,0.0,0.6284973681451409,366.5,2019.0,,,,C,"2019 surface at 366.5, not 376.5 as stated in notes"
406.0,460,28.5,5.7,727.2512103703182,377.5,406.0,0.6325187135347177,0.18026783335739452,0.6039855859018326,2.45218147876144,,,,0.0,0.6325187135347177,,,,,,C,"Max and Louis chatted on 5/24/23: realized that 366.5 was 2019, not 2020. (comparing EC to Y, and discrepancy between stake and core at EC). Stake measurement gives 254 cm for 2020."
433.0,460,27.0,5.7,688.9748308771435,406.0,431.25,0.6676586420644243,0.16858380712126714,0.6077136894800481,2.6207652858827073,,,,0.0,0.6676586420644243,,,,,,C,
455.0,410,25.5,5.7,650.698451383969,431.25,455.0,0.6300921711554284,0.14964689064941425,0.6088817970400268,2.7704121765321217,,,,0.0,0.6300921711554285,,,,,,C,
482.0,450,27.0,5.7,688.9748308771435,455.0,482.0,0.6531443237586759,0.17634896741484252,0.6113612331840175,2.946761143946964,,,,0.0,0.6531443237586759,,,,,,C,
510.0,450,28.0,5.7,714.4924172059267,482.0,510.5,0.6298177407672946,0.17949805611867894,0.6123916160755422,3.126259200065643,22.5,1.0,22.5,1.0,0.6199929313406506,,,,,,C,
542.5,530,31.5,5.7,803.8039693566676,510.5,542.5,0.6593647458897107,0.21099671868470743,0.6151623813364702,3.3372559187503503,,,,0.0,0.6593647458897106,,,,,,C,
588.0,820,45.5,5.7,1161.050177959631,542.5,588.25,0.7062571588775132,0.32311265018646224,0.6222471005417446,3.6603685689368124,21.5,1.0,21.5,1.0,0.7019277099138822,,,,,,C,
637.0,840,48.5,5.7,1237.6029369459802,588.25,635.75,0.6787314209780878,0.32239742496459173,0.6264673211012826,3.982765993901404,46.5,2.0,46.5,2.0,0.6690053295925092,,,,,,C,
684.0,885,49.5,5.7,1263.1205232747634,635.75,684.0,0.7006457291229431,0.33806156430182005,0.631699935409828,4.320827558203224,34.0,4.5,34.0,4.5,0.6801407184041601,,,,,,C,
728.0,735,44.0,5.7,1122.7737984664561,684.0,728.25,0.6546287426763092,0.2896732186342668,0.6330931379110869,4.61050077683749,44.0,1.0,44.0,1.0,0.6489554188075534,,,,,,C,
781.0,850,52.5,5.7,1339.6732822611127,728.25,781.0,0.6344830573655708,0.3346898127603386,0.6331870153134223,4.9451905895978285,,,,0.0,0.6344830573655709,,,,,,C,
817.0,680,36.0,5.7,918.6331078361915,781.0,816.75,0.740230233593166,0.2646323085095568,0.6378724087061385,5.209822898107386,,,,0.0,0.740230233593166,,,,,,C,
837.0,390,20.5,5.7,523.1105197400534,816.75,837.0,0.7455403500464886,0.1509719208844139,0.6404772782546952,5.3607948189918,16.5,4.0,16.5,4.0,0.7075195131348548,,,,,,C,
870.5,640,33.5,5.7,854.8391420142337,837.0,870.5,0.7486788666368105,0.25080742032333153,0.6446412681579704,5.611602239315132,,,,0.0,0.7486788666368105,,,,,,C,
899.0,555,28.5,5.7,727.2512103703182,870.5,899.25,0.7631475782864529,0.21940492875735518,0.6484300437111468,5.831007168072487,,,,0.0,0.7631475782864529,,,,,,C,
930.0,570,30.5,5.7,778.2863830278844,899.25,930.0,0.7323782253294004,0.22520630428879063,0.6512057497162664,6.056213472361278,,,,0.0,0.7323782253294003,,,,,,C,
961.5,570,31.5,5.7,803.8039693566676,930.0,961.5,0.7091281229379909,0.22337535872546713,0.6531033625675241,6.279588831086745,18.5,1.0,18.5,1.0,0.7028700286080889,,,,,,C,
985.0,410,23.5,5.7,599.6632787264028,961.5,985.0,0.6837170367856776,0.16067350364463426,0.6538337395666375,6.440262334731379,,,,0.0,0.6837170367856777,,,,,,C,
1026.5,730,41.5,5.7,1058.9798326444986,985.0,1026.5,0.6893426838706024,0.2860772138063,0.6552693179286585,6.72633954853768,,,,0.0,0.6893426838706025,,,,,,C,
1073.0,825,46.5,5.7,1186.5677642884139,1026.5,1073.75,0.6952826672269775,0.32852106026474687,0.6570300916230432,7.054860608802427,,,,0.0,0.6952826672269775,,,,,,C,
1104.0,530,29.5,5.7,752.7687966991014,1073.75,1104.0,0.7040674405263013,0.21298040075920613,0.6583189320255103,7.267841009561633,,,,0.0,0.7040674405263013,,,,,,C,
1133.5,585,29.5,5.7,752.7687966991014,1104.0,1133.5,0.7771310428450685,0.2292536576392952,0.6614110866520448,7.497094667200928,10.0,2.0,10.0,2.0,0.7681951186883461,,,,,,C,
1159.0,515,25.5,5.7,650.698451383969,1133.5,1159.25,0.7914572393781601,0.20380023913987624,0.6642997546983657,7.700894906340804,,,,0.0,0.7914572393781603,,,,,,C,felt some suction
1187.5,575,28.0,5.7,714.4924172059267,1159.25,1187.5,0.8047671132026541,0.2273467094797498,0.667641399226994,7.9282416158205535,26.5,1.5,26.5,1.5,0.7994269513261674,,,,,,C,
1211.5,540,24.0,5.7,612.4220718907943,1187.5,1211.5,0.8817448370742124,0.21161876089781095,0.6718828210250404,8.139860376718364,,,,0.0,0.8817448370742124,,,,,,C,
1228.0,380,16.5,5.7,421.0401744249211,1211.5,1228.0,0.9025267019210793,0.14891690581697808,0.6749818633986435,8.288777282535342,5.0,1.0,5.0,1.0,0.9026897149482457,,,,,,C,
1255.5,630,27.5,5.7,701.7336240415352,1228.0,1255.5,0.8977765613846524,0.24688855438077945,0.6798618747045896,8.535665836916122,1.5,5.0,1.5,5.0,0.8972824639145753,,,,,,C,"huge crystals, possible summer surface"
1269.5,290,14.0,5.7,357.24620860296335,1255.5,1269.5,0.8117650881000685,0.11364711233400959,0.6813164985624365,8.649312949250131,,,,0.0,0.8117650881000684,,,,,,C,
1286.0,315,16.5,5.7,421.0401744249211,1269.5,1286.0,0.7481471344872105,0.12344427719038974,0.682173967841409,8.77275722644052,,,,0.0,0.7481471344872106,,,,,,C,
1301.0,285,15.0,5.7,382.7637949317464,1286.0,1306.25,0.7445845290848905,0.15077836713969034,0.6831414808482458,8.92353559358021,,,,0.0,0.7445845290848905,,,,,,C,
1326.0,220,14.5,5.7,370.0050017673549,1306.25,1326.0,0.5945865568010015,0.11743084496819779,0.6818225066778588,9.040966438548407,,,,0.0,0.5945865568010014,,,,,,C,torn up at top 8.5 cm
1366.0,900,40.0,5.7,1020.7034531513239,1326.0,1366.0,0.8817448370742124,0.352697934829685,0.6876767476850726,9.393664373378092,11.0,9.0,11.0,9.0,0.8764449510635,1330.0,-9999.0,,,,C,Dirty layer
1391.5,560,25.5,5.7,650.698451383969,1366.0,1391.5,0.8606136971879023,0.2194564927829151,0.6908459120489405,9.613120866161008,11.5,3.0,11.5,3.0,0.8553621901462893,,,,,,C,
1405.0,295,13.5,5.7,344.48741543857176,1391.5,1404.25,0.8563447800391528,0.10918395945499199,0.6923485722354281,9.722304825616,9.0,1.0,9.0,1.0,0.8526294421701447,,,,,,C,
1440.5,780,37.0,5.7,944.1506941649745,1404.25,1440.5,0.8261393068082711,0.2994754987179983,0.6957153991207218,10.021780324333998,36.0,1.7,36.0,1.7,0.8225050614124408,,,,,,C,
1473.0,695,32.5,5.7,829.3215556854506,1440.5,1473.0,0.8380344092534395,0.27236118300736784,0.6988554994800655,10.294141507341365,,,,0.0,0.8380344092534395,,,,,,C,
1486.0,260,13.0,5.7,331.7286222741803,1473.0,1486.0,0.7837731885104109,0.10189051450635342,0.6995983863962125,10.396032021847718,9.5,0.2,9.5,0.2,0.781957144580886,,,,,,C,
1519.0,715,33.0,5.7,842.0803488498422,1486.0,1519.0,0.8490876208862786,0.28019891489247195,0.7028460129519546,10.67623093674019,,,,0.0,0.8490876208862788,,,,,,C,
1551.5,655,32.5,5.7,829.3215556854506,1519.0,1551.5,0.7898022130374143,0.2566857192371596,0.7046675253610925,10.93291665597735,,,,0.0,0.7898022130374142,,,,,,C,
1579.0,555,27.5,5.7,701.7336240415352,1551.5,1576.25,0.790898399315051,0.19574735383047515,0.7060215073629071,11.128664009807824,,,,0.0,0.790898399315051,1504.0,-9999.0,,,,C,transition inside ice lens from coarse to fine crystals
1617.0,850,43.5,5.7,1110.0150053020645,1576.25,1617.0,0.7657554140618958,0.31204533123022254,0.7075268609176282,11.440709341038048,,,,0.0,0.7657554140618958,,,,,,C,
1636.5,445,19.5,5.7,497.59293341127034,1617.0,1636.5,0.8943053048388023,0.17438953444356645,0.7097524519084396,11.615098875481614,,,,0.0,0.8943053048388022,,,,,,C,
1651.0,270,14.5,5.7,370.0050017673549,1636.5,1651.0,0.7297198651648654,0.10580938044890548,0.7099278168340715,11.720908255930519,,,,0.0,0.7297198651648654,,,,,,C,
1666.0,290,15.0,5.7,382.7637949317464,1651.0,1666.25,0.757647415560064,0.11554123087290975,0.7103645603482928,11.83644948680343,,,,0.0,0.7576474155600639,,,,,,C,
1695.5,580,29.0,5.7,740.0100035347098,1666.25,1695.5,0.783773188510411,0.22925365763929523,0.7116309728364921,12.065703144442725,,,,0.0,0.783773188510411,,,,,,C,
1723.0,550,27.5,5.7,701.7336240415352,1695.5,1723.0,0.7837731885104109,0.215537626840363,0.7127824011191577,12.281240771283088,,,,0.0,0.7837731885104108,,,,,,C,
1748.0,515,25.0,5.7,637.9396582195774,1723.0,1747.75,0.8072863841657234,0.19980338008101653,0.7141206780926393,12.481044151364104,,,,0.0,0.8072863841657235,,,,,,C,
1779.5,630,32.0,5.7,816.5627625210591,1747.75,1779.5,0.7715267324399359,0.24495973754967962,0.7151449221081081,12.726003888913784,,,,0.0,0.7715267324399359,,,,,,C,
