time,BDOT,RAIN,TS,SMELT,SUBLIM,SRHO
4/15/1980,20.21460084,5.42E-17,260.6083333,0.121253727,0,168.6401287
4/16/1980,1.383028758,2.71E-17,256.7020833,0.63557625,0,165.066383
4/17/1980,0.148096242,0,255.7958333,0.77064986,0,168.2800952
4/18/1980,2.868202072,0,258.1604167,0.793750888,0,171.4347342
4/19/1980,8.72139633,0,263.7333333,0.525614858,0,143.4640244
4/20/1980,2.647364907,0,261.2541667,0.57603419,0,125.8117894
4/21/1980,5.08379198,6.78E-18,261.49375,0.614512814,0,127.8696904
4/22/1980,6.287636788,0,262.18125,0.770958559,0,135.0433073
4/23/1980,0.931425758,0,260.8895833,0.925455592,0,157.3373983
4/24/1980,0.743035132,0,260.1916667,0.697398968,0,161.9589775
4/25/1980,1.725925832,0,264.1083333,1.173621146,0,165.9014361
4/26/1980,9.900162431,5.76E-17,262.4104167,0.40267453,0,166.6245473
4/27/1980,6.449090378,0,264.68125,2.254198046,0,143.2865772
4/28/1980,0.680989631,0,264.68125,3.261258135,0,149.9712302
4/29/1980,5.462418494,0,265.11875,3.995213335,0,185.4266599
4/30/1980,0.248026899,0,262.9729167,4.669612134,0,205.4585481
5/1/1980,3.678051839,0,267.2333333,7.253927577,0,216.1184808
5/2/1980,18.11981931,1.08E-16,267.15,0.501404727,0,178.7653053
5/3/1980,1.135687229,1.36E-17,264.0145833,1.029975625,0,161.7865451
5/4/1980,0.007841946,0,258.2541667,1.24234864,0,166.4239868
5/5/1980,0.016689206,2.11E-05,264.5666667,2.677551764,0,190.8934357
5/6/1980,4.838428592,0,266.9416667,1.167163261,0,188.6116019
5/7/1980,0.200524111,0,266.5458333,1.820455383,0,218.7441061
5/8/1980,9.94663613,0,267.8270833,0.547033156,0,193.8398756
5/9/1980,2.497357334,0,265.4833333,1.38123911,0,175.2918376
5/10/1980,4.491032699,3.39E-18,265.5041667,1.078417456,0,178.3310083
5/11/1980,0.957647892,0,259.025,1.394793558,0,168.2261627
5/12/1980,0.019476015,3.45E-09,258.1604167,1.335170854,0,196.8821098
5/13/1980,0.03959464,0.001130702,263.275,2.084230621,0,220.448109
5/14/1980,1.334234885,0,262.74375,1.29406718,0,237.0344886
5/15/1980,0.343038029,2.12E-19,267.1916667,6.063499824,0,244.3898617
5/16/1980,0.141138779,0.00330414,267.0979167,12.22489897,0,262.0078235
5/17/1980,3.87085792,0,267.8375,1.942052495,0,262.6464758
5/18/1980,0.364548336,0.000279078,266.49375,3.748917266,0,257.7423649
5/19/1980,0.248211344,0.010375394,267.49375,8.051448003,0,288.2206039
5/20/1980,32.21022849,3.39E-18,267.9520833,2.375326278,0,285.9104271
5/21/1980,9.499899624,0,267.3791667,0.702570593,0,217.6098688
5/22/1980,3.335412915,0,264.5458333,1.036719675,0,214.4688798
5/23/1980,0.306309843,0.008116106,264.2645833,1.441910422,0,216.6079005
5/24/1980,0.038399142,0.070447031,267.7854167,3.479608077,0,222.331081
5/25/1980,0.012964182,0.028407809,266.275,8.545758676,0,234.8446171
5/26/1980,0.188900438,0.0006719,266.93125,12.37704851,0,273.217699
5/27/1980,4.501139985,0.4665804,271.275,10.78892395,0,317.7108424
5/28/1980,3.445101989,2.696944525,271.2541667,8.041756081,0,328.6853556
5/29/1980,1.69920801,0.030679816,269.4833333,10.56783253,0,339.5479579
5/30/1980,9.668595233,0.95876092,267.8375,2.315873233,0,339.7981054
