time,BDOT,RAIN,TS,SMELT,SUBLIM,SRHO
4/15/1980,20.74937118,3.25E-16,260.7645833,0.220615549,0,171.5828919
4/16/1980,1.419616309,4.24E-19,257.4729167,0.59498775,0,166.0267501
4/17/1980,0.152014078,0,256.43125,0.665072388,0,168.9373017
4/18/1980,2.944079374,0,257.5666667,0.827839497,0,172.2361692
4/19/1980,8.952117879,1.08E-16,263.4729167,0.544065212,0,132.0339185
4/20/1980,2.717400038,0,261.05625,0.788456259,0,127.2465848
4/21/1980,5.218281953,0,261.2229167,0.79376842,0,151.6228884
4/22/1980,6.453974063,0,261.6708333,0.710404243,0,129.9073867
4/23/1980,0.956066307,0,260.9729167,1.025981492,0,133.7106462
4/24/1980,0.762691872,0,260.5458333,1.042661392,0,166.0371603
4/25/1980,1.771584608,0,263.7854167,1.081259091,0,168.9577593
4/26/1980,10.16206783,0,262.7020833,0.46515283,0,167.7583248
4/27/1980,6.619698852,0,264.8270833,2.35781668,0,143.1244839
4/28/1980,0.699004978,0,265.0979167,4.783137732,0,155.6364708
4/29/1980,5.606924902,0,265.4729167,3.663937793,0,191.5544849
4/30/1980,0.254588365,0,263.6708333,6.012426432,0,202.9484957
5/1/1980,3.775353439,0,267.0354167,7.944204505,0,229.5376719
5/2/1980,18.59917292,0,266.6291667,0.405397031,0,196.9624069
5/3/1980,1.165731445,0,263.9,1.288823206,0,185.8388056
5/4/1980,0.008049402,0,259.0354167,2.441821759,0,192.1946344
5/5/1980,0.017152415,0,264.5041667,4.834956003,0,202.1541829
5/6/1980,4.966427561,0,267.275,1.564087766,0,204.8026646
5/7/1980,0.205828908,0,266.6604167,2.209933895,0,207.4251279
5/8/1980,10.20977098,5.42E-17,267.74375,0.663427255,0,204.7650913
5/9/1980,2.563424065,0,265.1708333,1.372465851,0,200.4944112
5/10/1980,4.609841429,0,264.6083333,1.219201337,0,202.1671635
5/11/1980,0.982982138,1.36E-17,258.8583333,1.186004172,0,204.3896473
5/12/1980,0.01999125,1.06E-19,258.9520833,1.936320339,0,208.5489715
5/13/1980,0.041802716,0,264.2125,3.127782118,0,215.8818002
5/14/1980,1.369531612,8.27E-22,262.9625,1.427803522,0,222.7117516
5/15/1980,0.352112982,0,267.0458333,4.790874213,0,223.637349
5/16/1980,0.148094503,0.000169603,266.8270833,10.73350906,0,256.0656552
5/17/1980,3.973260138,1.08E-16,267.2020833,2.071214416,0,293.1739228
5/18/1980,0.374478798,0,266.3895833,4.905065676,0,296.3262956
5/19/1980,0.265427562,0,267.24375,8.693733351,0,309.3786123
5/20/1980,33.06233904,0,267.4104167,1.067141134,0,285.0156055
5/21/1980,9.75121621,0,266.55625,0.511249265,0,221.778711
5/22/1980,3.423650119,0,264.3479167,1.019407906,0,184.8926777
5/23/1980,0.322743981,0,264.6395833,1.873790832,0,194.0811993
5/24/1980,0.104023098,0.007702563,267.4416667,4.456748388,0,227.205283
5/25/1980,0.040711756,0.001754717,266.18125,8.562915791,0,240.3451465
5/26/1980,0.19456298,2.44E-05,267.0458333,11.21990491,0,256.4962525
5/27/1980,5.073435744,0.02570398,271.24375,11.88313778,0,264.8544572
5/28/1980,6.304532247,5.42E-17,271.0666667,6.366491947,0,309.6366496
5/29/1980,1.775651415,0,269.49375,9.041349958,0,328.2744969
5/30/1980,10.90849921,1.08E-16,267.5041667,1.000286429,0,323.9227801
5/31/1980,4.239473876,0,265.7541667,1.226722886,0,285.683655
6/1/1980,4.313784833,0,266.025,1.378022537,0,273.3191667
6/2/1980,10.70326314,0,267.3895833,0.361810056,0,264.9155104
6/3/1980,0.978752027,0.54514782,272.2541667,8.483615309,0,261.2856877
6/4/1980,0.238042611,0.004695683,271.9833333,20.37645486,0,286.2579304
6/5/1980,0,0.000694603,271.61875,23.75680499,0,333.0262957
6/6/1980,0.011893184,0.522550873,271.24375,15.47853567,0,375.2758801
6/7/1980,1.3742053,5.669608201,272.5666667,15.31722874,0,393.6115417
6/8/1980,4.339340763,2.336513948,270.2645833,7.038411231,0,388.6553878
6/9/1980,0.167683892,0.387706169,268.1395833,16.51332721,0,395.3759479
6/10/1980,0.213202198,2.960463158,270.525,11.60139673,0,402.6028016
6/11/1980,8.548684181,9.807468105,270.025,5.912869709,0,396.4750098
6/12/1980,24.41430102,1.733784721,271.5458333,3.718515363,0,299.0892526
6/13/1980,13.50896987,3.005521127,270.3375,2.722739046,0,229.5009007
6/14/1980,1.000107547,3.234028274,267.9104167,11.19557562,0,234.6694248
6/15/1980,0.635343137,6.754652211,270.8583333,10.54271099,0,280.5632046
6/16/1980,3.154940571,6.982206129,269.4208333,14.09909669,0,339.3942419
6/17/1980,54.74838182,44.63011032,271.4729167,5.180239936,0,230.3709923
6/18/1980,24.25000151,0,267.9833333,0.530894622,0,182.931652
6/19/1980,9.564592632,0.139107164,269.2854167,0.980347776,0,163.6615566
6/20/1980,16.32100224,0,267.8583333,0.508438884,0,163.448546
6/21/1980,8.156155997,1.030971261,268.8166667,1.574089346,0,167.2802
6/22/1980,0.593797349,1.488426451,267.0875,14.88046865,0,175.0631658
6/23/1980,0.068839909,2.743061541,268.61875,16.69069005,0,207.7894961
6/24/1980,0.424809425,0.79946936,271.025,20.71373711,0,270.1764879
6/25/1980,0.239084047,0.695657658,271.68125,12.53352937,0,331.5597606
6/26/1980,0.252249696,13.40488145,272.275,23.64907247,0,354.1459669
6/27/1980,1.03694302,41.95924664,273.15,17.52897766,0,378.4807618
6/28/1980,2.530638684,30.04182316,272.86875,18.68625892,0,393.1046934
6/29/1980,101.9958331,30.65296597,272.6395833,9.304824482,0,229.9790866
6/30/1980,30.56453275,0.36986799,271.6916667,7.383924893,0,147.8814997
7/1/1980,0.937779332,0.141458307,270.9,25.91233635,0,164.0040584
7/2/1980,7.88E-06,0.157213034,268.8166667,38.64065759,0,215.7168971
7/3/1980,1.609323633,11.24619863,271.9208333,11.39173147,0,266.7923764
7/4/1980,5.333923213,1.304881435,272.0354167,26.75658918,0,288.7875973
7/5/1980,0.000162232,0.420898544,269.3791667,24.02844909,0,332.1945032
7/6/1980,1.776923517,7.499523194,273.15,16.84396179,0,350.944064
7/7/1980,2.194970022,11.82310576,273.0458333,10.82025425,0,357.556037
7/8/1980,6.147403893,21.47236148,272.7125,6.816282359,0,354.581173
7/9/1980,0.732043016,8.028399046,270.0770833,15.21762092,0,361.2300989
7/10/1980,10.66714337,2.331371513,272.025,11.54902568,0,341.5270972
7/11/1980,7.79158822,2.943321276,272.4729167,11.84195591,0,346.6265399
7/12/1980,13.16791681,13.40757786,273.15,10.70331465,0,337.1984741
7/13/1980,1.482500489,11.91510024,272.8583333,12.39225891,0,353.6754227
7/14/1980,1.386053875,3.560368006,272.6708333,18.88714323,0,368.5366231
7/15/1980,0.246282167,19.2130014,271.9520833,16.7585664,0,375.5014673
7/16/1980,4.698419198,110.9624939,273.15,11.46259789,0,374.6109665
7/17/1980,10.51358958,28.97076352,273.1395833,10.99136415,0,338.4854753
