,BDOT,SMELT,RAIN,TS
1980-01-01,280.32391134978644,0.0,0.0,235.50441
1980-02-01,316.71931674240386,0.0,0.0,246.42932
1980-03-01,118.06851005153186,0.0,0.0,245.7247
1980-04-01,159.9087890880775,0.0,0.0,252.3629
1980-05-01,221.21861630593867,0.0,0.0,258.82172
1980-06-01,297.26810146897844,0.0,0.0,262.71506
1980-07-01,361.8778521074029,0.0,0.0,263.47018
1980-08-01,251.33958397251533,0.0,0.0,261.85852
1980-09-01,171.87101148761528,0.0,0.0,257.30698
1980-10-01,304.61959753367586,0.0,0.0,251.6891
1980-11-01,115.77231333805746,0.0,0.0,245.19354
1980-12-01,60.66817544164194,0.0,0.0,225.09634
1981-01-01,431.810110267146,0.0,0.0,250.27629
1981-02-01,234.39811121419964,0.0,0.0,243.97096
1981-03-01,189.34305164016666,0.0,0.0,249.6349
1981-04-01,42.88776137627855,0.0,0.0,248.75658
1981-05-01,148.15063980547203,0.0,0.0,260.6905
1981-06-01,238.3569814950868,0.0,0.0,262.40186
1981-07-01,425.70226989165684,0.0,0.0,263.33743
1981-08-01,520.1607315125954,0.0,0.0,262.2403
1981-09-01,156.98020349907097,0.0,0.0,257.7448
1981-10-01,228.12073588455183,0.0,0.0,250.77663
1981-11-01,140.4849106620406,0.0,0.0,240.37643
1981-12-01,158.37772136443044,0.0,0.0,239.97502
1982-01-01,36.06526626375692,0.0,0.0,233.85461
1982-02-01,84.0026648815456,0.0,0.0,237.43451
1982-03-01,266.5137983349231,0.0,0.0,244.21329
1982-04-01,112.95014809045348,0.0,0.0,249.62227
1982-05-01,137.58757090385797,0.0,0.0,256.88278
1982-06-01,285.5357758296376,0.0,0.0,262.0833
1982-07-01,301.01718298883213,0.0,0.0,263.35178
1982-08-01,225.19493029258854,0.0,0.0,262.69672
1982-09-01,574.3693662020619,0.0,0.0,259.50354
1982-10-01,155.47821479847698,0.0,0.0,244.17804
1982-11-01,216.9687151275254,0.0,0.0,243.32343
1982-12-01,320.1857300187808,0.0,0.0,242.29082
1983-01-01,106.46493769906887,0.0,0.0,236.14037
1983-02-01,107.18844136171191,0.0,0.0,241.97417
1983-03-01,26.829164300165626,0.0,0.0,244.44403
1983-04-01,214.16624241657763,0.0,0.0,252.56273
1983-05-01,140.24981126223983,0.0,0.0,258.87054
1983-06-01,125.14781708884063,0.0,0.0,262.3765
1983-07-01,161.54279880205317,0.0,0.0,263.44354
1983-08-01,415.63911677716294,0.0,0.0,261.84045
1983-09-01,235.45922995639148,0.0,0.0,255.97984
1983-10-01,304.06386206853904,0.0,0.0,249.27766
1983-11-01,149.46303511817592,0.0,0.0,245.93625
1983-12-01,55.07786110298507,0.0,0.0,239.70384
1984-01-01,272.49968100429,0.0,0.0,238.79889
1984-02-01,172.67469705574317,0.0,0.0,240.12413
1984-03-01,123.61834487225924,0.0,0.0,249.63686
1984-04-01,107.40662829907039,0.0,0.0,250.49501
1984-05-01,73.37621618709306,0.0,0.0,257.01642
1984-06-01,126.63543643445385,0.0,0.0,262.58536
1984-07-01,257.3135008649887,0.0,0.0,263.56
1984-08-01,336.3667937396709,0.0,0.0,260.2105
1984-09-01,181.8495855089118,0.0,0.0,258.41953
1984-10-01,162.22246634786646,0.0,0.0,248.52309
1984-11-01,104.2476098196859,0.0,0.0,238.20009
1984-12-01,306.27828729544683,0.0,0.0,242.40565
1985-01-01,276.31002620118545,0.0,0.0,247.7802
1985-02-01,97.03377098530952,0.0,0.0,234.5943
1985-03-01,245.65621743926687,0.0,0.0,245.86568
1985-04-01,84.46277951872838,0.0,0.0,246.09221
1985-05-01,232.59996555919,0.0,0.0,256.0203
1985-06-01,157.52651724874985,0.0,0.0,261.81995
1985-07-01,248.06878572145467,0.0,0.0,263.46533
1985-08-01,426.1730912594559,0.0,0.0,262.48895
1985-09-01,425.8846817684162,0.0,0.0,258.77524
1985-10-01,135.3876553651421,0.0,0.0,245.05026
1985-11-01,130.8829737908101,0.0,0.0,239.50102
1985-12-01,324.9871391888622,0.0,0.0,248.16737
1986-01-01,215.57543167075497,0.0,0.0,242.76202
1986-02-01,160.35966405239435,0.0,0.0,242.17935
1986-03-01,21.71365440791727,0.0,0.0,238.74377
1986-04-01,47.65741985798289,0.0,0.0,246.57997
1986-05-01,105.87180515232636,0.0,0.0,257.4103
1986-06-01,141.4615056303237,0.0,0.0,262.0791
1986-07-01,282.41942661277244,0.0,0.0,263.3351
1986-08-01,446.90390673548757,0.0,0.0,262.41617
1986-09-01,327.9709470341873,0.0,0.0,258.75388
1986-10-01,425.3321716374266,0.0,0.0,249.60945
1986-11-01,216.03781393834933,0.0,0.0,241.52623
1986-12-01,349.2634215547906,0.0,0.0,246.05731
1987-01-01,310.67269969092,0.0,0.0,243.89153
1987-02-01,200.8735078860405,0.0,0.0,243.10071
1987-03-01,95.23133005601066,0.0,0.0,243.92853
1987-04-01,114.54679476954907,0.0,0.0,250.71248
1987-05-01,132.27362088256632,0.0,0.0,258.3413
1987-06-01,232.52724645665026,0.0,0.0,262.43637
1987-07-01,253.6190563488689,0.0,0.0,263.39944
1987-08-01,268.3792028851212,0.0,0.0,262.12582
1987-09-01,424.67468756288423,0.0,0.0,257.5606
1987-10-01,394.550070872891,0.0,0.0,252.093
1987-11-01,214.26019165527143,0.0,0.0,245.14362
1987-12-01,247.23245448222175,0.0,0.0,239.48238
1988-01-01,79.76517104918538,0.0,0.0,241.03062
1988-02-01,261.9037334805168,0.0,0.0,243.87729
1988-03-01,198.2774803482401,0.0,0.0,248.36513
1988-04-01,212.20960154573004,0.0,0.0,252.43654
1988-05-01,168.75585120548158,0.0,0.0,259.74133
1988-06-01,255.47563681233538,0.0,0.0,263.02628
1988-07-01,181.38770213675832,0.0,0.0,263.6458
1988-08-01,330.69901876263447,0.0,0.0,262.80612
1988-09-01,249.56947961721153,0.0,0.0,257.6062
1988-10-01,285.2811277737749,0.0,0.0,246.90596
1988-11-01,83.78502067501363,0.0,0.0,239.96794
1988-12-01,365.7559533696603,0.0,0.0,243.26208
1989-01-01,116.10039550531718,0.0,0.0,227.53168
1989-02-01,140.75994003531326,0.0,0.0,243.85976
1989-03-01,34.91527786590288,0.0,0.0,242.09496
1989-04-01,170.73048932854627,0.0,0.0,253.39143
1989-05-01,181.3891264740774,0.0,0.0,257.987
1989-06-01,193.25647504848308,0.0,0.0,262.55585
1989-07-01,270.6643694726645,0.0,0.0,263.43878
1989-08-01,522.0259837023909,0.0,0.0,263.11563
1989-09-01,385.27676795379847,0.0,0.0,260.3456
1989-10-01,392.0162498602511,0.0,0.0,249.70644
1989-11-01,143.2597750359405,0.0,0.0,238.27092
1989-12-01,333.6821880599026,0.0,0.0,244.07932
1990-01-01,252.50066766610385,0.0,0.0,236.49387
1990-02-01,164.09407113733994,0.0,0.0,231.13759
1990-03-01,302.88725396260014,0.0,0.0,247.11449
1990-04-01,120.04873173049813,0.0,0.0,253.67506
1990-05-01,158.54032927658176,0.0,0.0,260.34174
1990-06-01,242.70721849861593,0.0,0.0,263.3227
1990-07-01,195.01737907432707,0.0,0.0,263.42807
1990-08-01,320.91287779261467,0.0,0.0,262.05164
1990-09-01,574.2834638045916,0.0,0.0,259.55167
1990-10-01,155.13391217484693,0.0,0.0,247.17476
1990-11-01,95.59944769385253,0.0,0.0,237.0788
1990-12-01,280.8874768472291,0.0,0.0,239.69135
1991-01-01,208.35967614550518,0.0,0.0,238.40952
1991-02-01,131.40376868629676,0.0,0.0,242.38515
1991-03-01,248.38517251678044,0.0,0.0,246.10759
1991-04-01,126.23003145230679,0.0,0.0,252.3733
1991-05-01,150.02464420013519,0.0,0.0,258.5427
1991-06-01,93.67669363490005,0.0,0.0,262.85825
1991-07-01,360.37140172577415,0.0,0.0,263.26886
1991-08-01,283.30103105342494,0.0,0.0,261.90924
1991-09-01,419.0727159531959,0.0,0.0,260.37204
1991-10-01,206.51452914966578,0.0,0.0,249.11781
1991-11-01,84.74856300987342,0.0,0.0,241.89
1991-12-01,254.20448227288745,0.0,0.0,241.59926
1992-01-01,168.89679164974334,0.0,0.0,241.35815
1992-02-01,144.86024634854672,0.0,0.0,239.73741
1992-03-01,261.8609920956106,0.0,0.0,245.0724
1992-04-01,46.699573728040264,0.0,0.0,249.27235
1992-05-01,115.53108269150538,0.0,0.0,256.02664
1992-06-01,133.78054356209026,0.0,0.0,262.58694
1992-07-01,195.4377160518459,0.0,0.0,263.49625
1992-08-01,282.29892318599974,0.0,0.0,262.4566
1992-09-01,202.86844234210187,0.0,0.0,251.72371
1992-10-01,296.20807073362556,0.0,0.0,246.9394
1992-11-01,439.38804810587885,0.0,0.0,245.7162
1992-12-01,233.0491864612426,0.0,0.0,238.94527
1993-01-01,318.4812023135578,0.0,0.0,239.73186
1993-02-01,175.36518850869047,0.0,0.0,245.38246
1993-03-01,101.6187793478201,0.0,0.0,247.07558
1993-04-01,55.35101109727664,0.0,0.0,253.27568
1993-05-01,140.50641278539342,0.0,0.0,259.84363
1993-06-01,137.21007465553058,0.0,0.0,263.02234
1993-07-01,68.26624701997441,0.0,0.0,263.27487
1993-08-01,501.7072416124899,0.0,0.0,262.35107
1993-09-01,742.6375111736278,0.0,0.0,258.05835
1993-10-01,362.6200855218987,0.0,0.0,251.47392
1993-11-01,315.21233366811146,0.0,0.0,243.5747
1993-12-01,226.7972198293522,0.0,0.0,244.03995
1994-01-01,197.28383061217974,0.0,0.0,242.87488
1994-02-01,71.14854322843553,0.0,0.0,235.83878
1994-03-01,317.6411603669478,0.0,0.0,245.84029
1994-04-01,164.4108228657081,0.0,0.0,252.8698
1994-05-01,160.94954238432484,0.0,0.0,259.1625
1994-06-01,261.6563221045733,0.0,0.0,262.92307
1994-07-01,234.18584209359406,0.0,0.0,263.4084
1994-08-01,336.9437509879957,0.0,0.0,262.1829
1994-09-01,199.43568487970649,0.0,0.0,257.22867
1994-10-01,199.4127928130307,0.0,0.0,248.06947
1994-11-01,250.94283490029156,0.0,0.0,239.75047
1994-12-01,267.6815140536479,0.0,0.0,239.88031
1995-01-01,140.08428598824128,0.0,0.0,240.10896
1995-02-01,104.60652241263372,0.0,0.0,242.49326
1995-03-01,60.88769877300459,0.0,0.0,239.7167
1995-04-01,166.19471129108007,0.0,0.0,254.29219
1995-05-01,233.6157393481714,0.0,0.0,260.00128
1995-06-01,183.5009374255228,0.0,0.0,262.61063
1995-07-01,198.98497361247692,0.0,0.0,263.34366
1995-08-01,143.3486614469339,0.0,0.0,262.72043
1995-09-01,405.4601551498073,0.0,0.0,262.18344
1995-10-01,134.69097001301063,0.0,0.0,251.10924
1995-11-01,49.44636038412334,0.0,0.0,239.21452
1995-12-01,126.88485478570244,0.0,0.0,241.89839
1996-01-01,44.42046449012154,0.0,0.0,232.4981
1996-02-01,209.83782442225979,0.0,0.0,240.25539
1996-03-01,68.68851378025165,0.0,0.0,245.08609
1996-04-01,103.96668541385618,0.0,0.0,251.59962
1996-05-01,98.63329974643536,0.0,0.0,258.5286
1996-06-01,252.15698073955116,0.0,0.0,262.46454
1996-07-01,273.4767893688917,0.0,0.0,263.44113
1996-08-01,357.91824742519225,0.0,0.0,261.44144
1996-09-01,277.56495537834,0.0,0.0,255.99565
1996-10-01,126.73314629290108,0.0,0.0,242.19035
1996-11-01,74.57583907493313,0.0,0.0,242.03499
1996-12-01,92.24697098587448,0.0,0.0,236.85544
1997-01-01,155.10704227149702,0.0,0.0,236.5289
1997-02-01,266.6066801018784,0.0,0.0,249.75127
1997-03-01,22.70551396472117,0.0,0.0,241.26741
1997-04-01,52.186060322140115,0.0,0.0,251.92995
1997-05-01,167.16934656525416,0.0,0.0,258.59283
1997-06-01,153.67421447493248,0.0,0.0,262.78784
1997-07-01,196.97033364394983,0.0,0.0,263.52744
1997-08-01,426.7217530744646,0.0,0.0,261.85147
1997-09-01,256.1236907915539,0.0,0.0,260.0345
1997-10-01,88.55150446240968,0.0,0.0,243.49936
1997-11-01,276.9981149204098,0.0,0.0,247.82793
1997-12-01,212.58037449469495,0.0,0.0,240.15118
1998-01-01,91.67156771347254,0.0,0.0,238.98235
1998-02-01,83.6973406607977,0.0,0.0,244.59528
1998-03-01,142.75789027825564,0.0,0.0,247.74849
1998-04-01,415.00770642681505,0.0,0.0,253.49913
1998-05-01,333.6220676383489,0.0,0.0,258.3239
1998-06-01,209.70111439898992,0.0,0.0,262.2987
1998-07-01,327.094370866182,0.0,0.0,263.5394
1998-08-01,468.57510308031823,0.0,0.0,261.81323
1998-09-01,376.96762215142536,0.0,0.0,258.59766
1998-10-01,189.01939348969861,0.0,0.0,249.13457
1998-11-01,104.50723513924821,0.0,0.0,243.84299
1998-12-01,97.63163867936412,0.0,0.0,238.51399
1999-01-01,188.1759930112001,0.0,0.0,234.6817
1999-02-01,49.605290231824696,0.0,0.0,232.48964
1999-03-01,132.83011271378828,0.0,0.0,243.62347
1999-04-01,202.4313338917742,0.0,0.0,251.12144
1999-05-01,92.52695885618648,0.0,0.0,257.4773
1999-06-01,145.57477199815526,0.0,0.0,262.37903
1999-07-01,339.7385575179586,0.0,0.0,263.47522
1999-08-01,219.68057102664994,0.0,0.0,262.57712
1999-09-01,298.97762135847495,0.0,0.0,259.1443
1999-10-01,211.44964523882962,0.0,0.0,247.52791
1999-11-01,88.8555447951004,0.0,0.0,240.51326
1999-12-01,411.8301144181769,0.0,0.0,235.97284
2000-01-01,299.15109721331146,0.0,0.0,238.89265
2000-02-01,193.80640343427118,0.0,0.0,246.77788
2000-03-01,146.59539061733895,0.0,0.0,248.15773
2000-04-01,97.6448078527263,0.0,0.0,251.89726
