,BDOT,SMELT,RAIN,TS
1980-01-01,425.3710915778659,0.0,0.0,249.52335
1980-02-01,654.8174604367019,0.0,0.0,259.55878
1980-03-01,373.07857102232225,0.0,0.0,258.67392
1980-04-01,684.0695193736549,0.0,0.0,265.2885
1980-05-01,484.95819903443424,0.0,0.0,266.9873
1980-06-01,44.243196471438985,200.33792602214274,129.94235315895338,267.419
1980-07-01,0.0,917.7279811378203,211.54302012973614,273.15
1980-08-01,0.0,676.7859292797965,262.60512843691384,273.15
1980-09-01,328.6305361091941,34.47595711654716,48.402931425732135,273.15
1980-10-01,940.1228443405844,0.0,0.0,264.49088
1980-11-01,575.1184993167544,0.0,0.0,261.1874
1980-12-01,116.71339041640641,0.0,0.0,240.94473
1981-01-01,1094.3925181428642,0.0,0.0,264.84058
1981-02-01,322.19006472720514,0.0,0.0,258.60803
1981-03-01,650.8339119943591,0.0,0.0,263.11346
1981-04-01,118.75413566478352,0.0,0.0,261.01218
1981-05-01,185.8119232883499,13.509289929565915,9.508572720762388,266.79767
1981-06-01,0.0,429.2500980879354,202.71569146789332,267.1951
1981-07-01,0.0,860.0822071165535,225.29542361447088,273.15
1981-08-01,0.0,764.3683005482758,498.2342805488962,273.15
1981-09-01,384.77385922575695,27.92091862237823,44.64653965377517,273.15
1981-10-01,393.0143733828714,0.0,0.0,263.73853
1981-11-01,479.86538630733776,0.0,0.0,255.91328
1981-12-01,514.3205320203939,0.0,0.0,253.95815
1982-01-01,130.20044543960006,0.0,0.0,249.28835
1982-02-01,61.53971087624587,0.0,0.0,250.20709
1982-03-01,171.1683101086434,0.0,0.0,257.70572
1982-04-01,377.91621527043816,0.0,0.0,261.7191
1982-05-01,159.38785116947653,0.0,0.0,265.79648
1982-06-01,86.93834785146343,185.34101512834445,193.6487025676959,267.29794
1982-07-01,0.0,862.8687027689205,162.37692284060861,273.15
1982-08-01,0.0,780.2905148842082,178.4651615411129,273.15
1982-09-01,251.77731733951092,126.7586641153412,225.08454366697399,273.15
1982-10-01,188.48734302667282,0.0,0.0,258.65463
1982-11-01,467.5883654043962,0.0,0.0,258.79214
1982-12-01,798.7854471736691,0.0,0.0,259.61832
1983-01-01,424.7945382872426,0.0,0.0,254.47517
1983-02-01,509.9394807243295,0.0,0.0,257.65784
1983-03-01,184.0893549614003,0.0,0.0,260.137
1983-04-01,284.7523204805464,0.0,0.0,264.0314
1983-05-01,352.178584515458,0.0,0.0,266.68857
1983-06-01,0.0,443.48613507287405,186.2332923608951,267.19827
1983-07-01,0.0,974.8924243256752,165.36393346819176,273.15
1983-08-01,0.0,747.1612480450343,293.8045006117477,273.15
1983-09-01,208.77866580796558,0.0,0.0,264.04224
1983-10-01,362.2006410892877,0.0,0.0,263.1471
1983-11-01,726.5565631621948,0.0,0.0,262.59726
1983-12-01,147.69346529854468,0.0,0.0,254.14091
1984-01-01,471.4845245492253,0.0,0.0,255.83635
1984-02-01,345.8152509941625,0.0,0.0,256.9215
1984-03-01,385.7680577516317,0.0,0.0,263.33176
1984-04-01,300.2415993337053,0.0,0.0,264.11887
1984-05-01,159.7403283807464,0.0,0.0,265.84744
1984-06-01,0.0,489.1988468389952,133.48797658106676,267.13913
1984-07-01,0.0,872.2218836884558,135.73971767742015,273.15
1984-08-01,0.0,907.2299564029851,223.56612827310835,273.15
1984-09-01,241.59076842984746,133.14826891463468,237.57066184712266,273.15
1984-10-01,366.8664778937008,0.0,0.0,260.59503
1984-11-01,204.10303111407157,0.0,0.0,255.16048
1984-12-01,427.26361911415904,0.0,0.0,256.39243
1985-01-01,848.5119727254755,0.0,0.0,263.78708
1985-02-01,104.3355630807445,0.0,0.0,251.45454
1985-03-01,475.94734980685104,0.0,0.0,259.01358
1985-04-01,311.54340508943756,0.0,0.0,259.11435
1985-05-01,292.12653184487743,0.0,0.0,265.73068
1985-06-01,265.1777153642208,0.0,0.0,267.3465
1985-07-01,0.0,851.4760293113993,111.38258075457716,273.15
1985-08-01,0.0,650.4066312818674,197.0953007511933,273.15
1985-09-01,159.18115031534379,134.34109874242597,159.3383768978879,265.85577
1985-10-01,128.8767666820916,0.0,0.0,258.9889
1985-11-01,126.08064618857087,0.0,0.0,252.83339
1985-12-01,831.7210706543434,0.0,0.0,262.6059
1986-01-01,785.9164134969946,0.0,0.0,261.45944
1986-02-01,343.4550219389702,0.0,0.0,255.25145
1986-03-01,92.66762499450006,0.0,0.0,256.72452
1986-04-01,131.87992171892773,0.0,0.0,260.17886
